Weight,Multiplier,Value,HALT_pct,WAIT_pct,PURIFY_pct,seed
C_energy (P_INFERENCE_EDGE_W),0.5,0.05,0.0,0.0,100.0,16180
C_energy (P_INFERENCE_EDGE_W),1.0,0.1,0.0,0.0,100.0,16180
C_energy (P_INFERENCE_EDGE_W),2.0,0.2,0.0,0.0,100.0,16180
C_energy (P_INFERENCE_EDGE_W),5.0,0.5,0.0,0.0,100.0,16180
C_energy (P_INFERENCE_EDGE_W),10.0,1.0,0.0,0.0,100.0,16180
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),0.1,5e-06,0.0,100.0,0.0,16180
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),0.5,2.5e-05,0.0,0.0,100.0,16180
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),1.0,5e-05,0.0,0.0,100.0,16180
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),2.0,0.0001,0.0,0.0,100.0,16180
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),5.0,0.00025,0.0,0.0,100.0,16180
C_fidelity (VALUE_MISSED_GOOD_PAIR_J),10.0,0.0005,0.0,0.0,100.0,16180
C_failure (FAILURE_COST_J),0.1,2e-07,0.0,0.0,100.0,16180
C_failure (FAILURE_COST_J),0.5,1e-06,0.0,0.0,100.0,16180
C_failure (FAILURE_COST_J),1.0,2e-06,0.0,0.0,100.0,16180
C_failure (FAILURE_COST_J),2.0,4e-06,0.0,0.0,100.0,16180
C_failure (FAILURE_COST_J),5.0,1e-05,0.0,0.0,100.0,16180
C_failure (FAILURE_COST_J),10.0,2e-05,0.0,0.0,100.0,16180
